fsq_id,categories,closed_bucket,distance,location,name,latitude,longitude
5cb8888dc0cacb002cf98062,Fish and Chips Shop,VeryLikelyOpen,910,"73 Coxwell Ave (Dundas St & Coxwell St), Toronto ON M4L 3B1",Le Conciliabule,43.668614,-79.317268
4cd7538f886cb60c8cc08e89,Indian Restaurant,VeryLikelyOpen,333,"1460 Gerrard St E (Coxwell Ave), Toronto ON M4L 2A3",Bobbette & Belle,43.67205,-79.322451
4ad78ecaf964a520220c21e3,Bar,LikelyOpen,384,"1471 Gerrard St E, Toronto ON M4L 2A1",Te Aro,43.672346,-79.320804
53af0086498eb15122135e6a,Burger Joint,VeryLikelyOpen,376,"1636 Queen St E (btwn Coxwell Ave. & Kingston Rd.), Toronto ON M4L 1G3",Completo,43.666763,-79.315564
4ec03c1329c25ce5a22fca40,Diner,VeryLikelyOpen,320,"1483 Queen St E, Toronto ON M4L 1E2",Ascari Enoteca,43.665121,-79.321347
55cbe079498e206cdf9f4c97,Egyptian Restaurant,VeryLikelyOpen,445,"226 Greenwood Ave (Sandford Avenue), Toronto ON M4L 2R2",Descendant Detroit Style Pizza,43.671682,-79.328462
4ada456ff964a520c22021e3,Café,VeryLikelyOpen,332,"1347 Queen St E (Knox Aveneue), Toronto ON M4L 1C6",Hanoi 3 Seasons,43.66388,-79.326107
4ad7e958f964a520001021e3,Pizzeria,VeryLikelyOpen,599,"6 Coxwell Ave (Queen), Toronto ON M4L 3A7",Eds Real Scoop,43.666623,-79.316861
4ada03e4f964a520421d21e3,Ice Cream Parlor,LikelyOpen,380,"1698 Queen St W, Scarborough ON M6R 1B3",Tango Palace Coffee Co,43.667418,-79.312824
4afef85ff964a5204a3222e3,Bistro,VeryLikelyOpen,524,"1300 Gerrard St E (Greenwood ave), Toronto ON M4L 1Y7",Reliable Halibut & Chips,43.671324,-79.32719
